𫝈	㑮
竖柱上梁	豎柱上梁
竖起脊梁	豎起脊梁
跳梁小丑	跳樑小醜
逼上梁山	逼上梁山
凿壁悬梁	鑿壁懸梁
雕梁画柱	雕樑畫柱
雕梁画栋	雕樑畫棟
黄梁美梦	黃樑美夢
鼻无梁柱	鼻無梁柱
齐梁世界	齊梁世界
之征	之徵
休征	休徵
停征	停徵
仪征	儀徵
免征	免徵
初征	初征
力征	力征
北征	北征
南征	南征
卜征	卜征
咎征	咎徵
固征	固徵
孤征	孤征
宵征	宵征
专征	專征
带征	帶徵
广征	廣徵
强征	強徵
征伐	征伐
征剿	征剿
征尘	征塵
征夫	征夫
征帆	征帆
征彸	征彸
征戍	征戍
征战	征戰
征敛	征斂
征旆	征旆
征服	征服
征程	征程
征衣	征衣
征衫	征衫
征讨	征討
征途	征途
征马	征馬
征驾	征駕
征人	徵人
征令	徵令
征信	徵信
征候	徵候
征兆	徵兆
征兵	徵兵
征到	徵到
征募	徵募
征友	徵友
征召	徵召
征吏	徵吏
征咎	徵咎
征启	徵啟
征地	徵地
征士	徵士
征婚	徵婚
征实	徵實
征庸	徵庸
征引	徵引
征得	徵得
征怪	徵怪
征招	徵招
征收	徵收
征效	徵效
征文	徵文
征求	徵求
征状	徵狀
征用	徵用
征税	徵稅
征稿	徵稿
征答	徵答
征管	徵管
征粮	徵糧
征纳	徵納
征结	徵結
征缴	徵繳
征圣	徵聖
征聘	徵聘
征训	徵訓
征询	徵詢
征调	徵調
征象	徵象
征费	徵費
征购	徵購
征迹	徵跡
征车	徵車
征辟	徵辟
征逐	徵逐
征选	徵選
征集	徵集
征验	徵驗
性征	性徵
应征	應徵
指征	指徵
改征	改徵
新征	新徵
旁征	旁徵
明征	明徵
有征	有徵
本征	本徵
东征	東征
流征	流徵
减征	減徵
特征	特徵
瑞征	瑞徵
病征	病徵
稽征	稽徵
纳征	納徵
缓征	緩徵
考征	考徵
西征	西征
亲征	親征
诚征	誠徵
课征	課徵
谈征	談徵
变征	變徵
象征	象徵
贵征	貴徵
输征	輸征
遄征	遄征
远征	遠征
长征	長征
开征	開徵
关征	關征
预征	預徵
额征	額徵
飞征	飛征
体征	體徵
仪征市	儀徵市
副性征	副性徵
带征银	帶徵銀
征服兵	征服兵
征服者	征服者
征信所	徵信所
征信社	徵信社
征候群	徵候群
征兵法	徵兵法
征兵站	徵兵站
征友栏	徵友欄
征意见	徵意見
征收额	徵收額
征税额	徵稅額
征稿栏	徵稿欄
征集令	徵集令
应征信	應徵信
应征稿	應徵稿
应征者	應徵者
文征明	文徵明
本征值	本徵值
特征值	特徵值
稽征所	稽徵所
稽征处	稽徵處
象征性	象徵性
象征着	象徵着
远征军	遠征軍
长征军	長征軍
陆征祥	陸徵祥
三征七辟	三徵七辟
保留征收	保留徵收
信而有征	信而有徵
公用征收	公用徵收
区段征收	區段徵收
南征北伐	南征北伐
南征北战	南征北戰
南征北讨	南征北討
含商咀征	含商咀徵
含宫咀征	含宮咀徵
土地征收	土地徵收
小泽征尔	小澤征爾
带罪征收	帶罪徵收
年龄特征	年齡特徵
征敛无度	征斂無度
征服到地	征服到地
御驾亲征	御駕親征
征名责实	徵名責實
征文启事	徵文啟事
征文比赛	徵文比賽
征求启事	徵求啟事
征聘人员	徵聘人員
征风召雨	徵風召雨
急征重敛	急征重斂
旁征博引	旁徵博引
暴敛横征	暴斂橫徵
有征无战	有征無戰
有奖征答	有獎徵答
杞宋无征	杞宋無徵
东征西怨	東征西怨
东征西讨	東征西討
东讨西征	東討西征
横征暴敛	橫徵暴斂
无征不信	無徵不信
生命征象	生命徵象
直接征税	直接徵稅
税捐稽征	稅捐稽徵
第一性征	第一性徵
第二性征	第二性徵
繁征博引	繁徵博引
能征善战	能征善戰
能征惯战	能征慣戰
临床特征	臨牀特徵
举荐征辟	舉薦征辟
螽斯之征	螽斯之徵
详征博引	詳徵博引
变征之声	變徵之聲
变征之音	變徵之音
象征主义	象徵主義
酒食征逐	酒食徵逐
上升	上升
不升	不升
公升	公升
冒升	冒升
初升	初升
加升	加升
升上	升上
升任	升任
升来	升來
升值	升值
升入	升入
升幂	升冪
升到	升到
升力	升力
升势	升勢
升升	升升
升在	升在
升坐	升坐
升堂	升堂
升压	升壓
升好	升好
升学	升學
升官	升官
升帐	升帳
升幅	升幅
升引	升引
升得	升得
升息	升息
升成	升成
升旗	升旗
升格	升格
升水	升水
升沉	升沉
升温	升溫
升火	升火
升为	升爲
升爲	升爲
升班	升班
升的	升的
升破	升破
升科	升科
升空	升空
升等	升等
升级	升級
升职	升職
升至	升至
升号	升號
升调	升調
升起	升起
升速	升速
升过	升過
升遐	升遐
升迁	升遷
升降	升降
升限	升限
升阶	升階
升腾	升騰
升高	升高
升点	升點
反升	反升
各升	各升
小升	小升
序升	序升
弹升	彈升
微升	微升
快升	快升
急升	急升
拉升	拉昇
挺升	挺升
推升	推升
提升	提升
扬升	揚升
擢升	擢升
攀升	攀升
日升	日升
升仙	昇仙
升天	昇天
升平	昇平
升汞	昇汞
升华	昇華
升阳	昇陽
晋升	晉升
暂升	暫升
会升	會升
东升	東昇
荣升	榮升
毫升	毫升
没升	沒升
洪升	洪昇
涨升	漲升
渐升	漸升
爬升	爬升
猛升	猛升
毕升	畢昇
直升	直升
突升	突升
窜升	竄升
立升	立升
调升	調升
超升	超升
跳升	跳升
跻升	躋升
跃升	躍升
连升	連升
递升	遞升
迁升	遷升
厘升	釐升
陈升	陳昇
飙升	飆升
飞升	飛昇
腾升	騰昇
高升	高升
丁伯升	丁伯升
丁柏升	丁柏升
上升为	上升爲
何小升	何小昇
十公升	十公升
升上来	升上來
升上去	升上去
升任为	升任爲
升学率	升學率
升学班	升學班
升官图	升官圖
升格成	升格成
升格为	升格爲
升级性	升級性
升级成	升級成
升级版	升級版
升结肠	升結腸
升记号	升記號
升起来	升起來
升降梯	升降梯
升降机	升降機
升降舵	升降舵
升高为	升高爲
太阳升	太陽昇
提升到	提升到
提升为	提升爲
晋升为	晉升爲
河升镇	河昇鎮
涌升流	湧升流
直升机	直升機
茅以升	茅以升
跃升为	躍升爲
降升调	降升調
上升趋势	上升趨勢
不升反降	不升反降
不降反升	不降反升
以升量石	以升量石
免试升学	免試升學
入室升堂	入室升堂
冉冉上升	冉冉上升
升来升去	升來升去
升幂级数	升冪級數
升势受阻	升勢受阻
升堂入室	升堂入室
升堂拜母	升堂拜母
升学主义	升學主義
升学压力	升學壓力
升学考试	升學考試
升旗仪式	升旗儀式
升旗典礼	升旗典禮
升班考试	升班考試
升等考试	升等考試
升级换代	升級換代
升迁管道	升遷管道
升降记号	升降記號
升高自下	升高自下
四海升平	四海昇平
如日方升	如日方升
如日东升	如日東昇
得道升天	得道昇天
拔宅上升	拔宅上昇
拔宅飞升	拔宅飛昇
指日高升	指日高升
教猱升木	教猱升木
日升月恒	日升月恆
日月升恒	日月升恆
旭日初升	旭日初昇
旭日东升	旭日東昇
升华作用	昇華作用
未降反升	未降反升
歌舞升平	歌舞昇平
步步高升	步步高昇
海宇升平	海宇昇平
白日升天	白日昇天
白日飞升	白日飛昇
直升飞机	直升飛機
节节上升	節節上升
袅袅上升	裊裊上升
设朝升殿	設朝升殿
逐步升级	逐步升級
陡然升高	陡然升高
鸡犬俱升	雞犬俱升
鸡犬升天	雞犬升天
腾捷飞升	騰捷飛升
丹参	丹蔘
人参	人蔘
免参	免參
内参	內參
刺参	刺蔘
参予	參予
参事	參事
参伍	參伍
参佐	參佐
参假	參假
参加	參加
参劾	參劾
参半	參半
参商	參商
参堂	參堂
参场	參場
参天	參天
参奏	參奏
参孙	參孫
参宿	參宿
参将	參將
参展	參展
参差	參差
参度	參度
参悟	參悟
参战	參戰
参拜	參拜
参政	參政
参数	參數
参会	參會
参朝	參朝
参本	參本
参校	參校
参演	參演
参照	參照
参看	參看
参破	參破
参禅	參禪
参综	參綜
参考	參考
参股	參股
参与	參與
参见	參見
参观	參觀
参订	參訂
参训	參訓
参访	參訪
参评	參評
参请	參請
参谋	參謀
参谒	參謁
参谭	參譚
参议	參議
参赛	參賽
参赞	參贊
参军	參軍
参辰	參辰
参透	參透
参道	參道
参选	參選
参酌	參酌
参量	參量
参错	參錯
参阅	參閱
参院	參院
参杂	參雜
参灵	參靈
参革	參革
参预	參預
参头	參頭
参验	參驗
喝参	喝參
土参	土參
岑参	岑參
打参	打參
放参	放參
早参	早參
晚参	晚參
曹参	曹參
曾参	曾參
江参	江參
沙参	沙蔘
洋参	洋蔘
海参	海蔘
玄参	玄蔘
苦参	苦蔘
参汤	蔘湯
参绥	蔘綏
参茸	蔘茸
萧参	蕭蔘
血参	血蔘
高参	高參
人参果	人蔘果
人参精	人蔘精
参两院	參兩院
参加人	參加人
参加国	參加國
参加完	參加完
参加为	參加爲
参加奖	參加獎
参加者	參加者
参宿七	參宿七
参展商	參展商
参战国	參戰國
参拾壹	參拾壹
参拾陆	參拾陸
参政权	參政權
参照卡	參照卡
参照物	參照物
参考值	參考值
参考性	參考性
参考书	參考書
参考法	參考法
参与度	參與度
参与感	參與感
参与权	參與權
参与率	參與率
参与者	參與者
参见注	參見注
参观券	參觀券
参观完	參觀完
参观者	參觀者
参话头	參話頭
参谋长	參謀長
参议员	參議員
参议会	參議會
参议院	參議院
参赛国	參賽國
参赛权	參賽權
参赛片	參賽片
参赛者	參賽者
参选人	參選人
海参威	海參威
海参崴	海參崴
花旗参	花旗參
西洋参	西洋參
请参阅	請參閱
高丽参	高麗蔘
仅作参考	僅作參考
仅供参考	僅供參考
全程参加	全程參加
公众参与	公眾參與
利弊参半	利弊參半
功过参半	功過參半
动如参商	動如參商
卯酉参辰	卯酉參辰
参差不齐	參差不齊
参差错落	參差錯落
参众两院	參眾兩院
参知政事	參知政事
参考参考	參考參考
参考座标	參考座標
参考手冊	參考手冊
参考文献	參考文獻
参考书目	參考書目
参考材料	參考材料
参考消息	參考消息
参考特藏	參考特藏
参考资料	參考資料
参与人员	參與人員
参见互照	參見互照
参观参观	參觀參觀
参谋总部	參謀總部
参谋总长	參謀總長
参辰卯酉	參辰卯酉
参辰日月	參辰日月
参量空间	參量空間
可供参考	可供參考
喜忧参半	喜憂參半
增量参数	增量參數
得失参半	得失參半
忧喜参半	憂喜參半
拔地参天	拔地參天
日月参辰	日月參辰
晨参暮省	晨參暮省
晨参暮礼	晨參暮禮
暮礼晨参	暮禮晨參
曾参杀人	曾參殺人
月落参横	月落參橫
朝参暮礼	朝參暮禮
林木参天	林木參天
正则参数	正則參數
状态参数	狀態參數
略无参商	略無參商
疑信参半	疑信參半
直接参与	直接參與
笔参造化	筆參造化
约翰参书	約翰參書
绝对参照	絕對參照
总参谋部	總參謀部
总参谋长	總參謀長
谢绝参观	謝絕參觀
毁誉参半	譭譽參半
违纪参选	違紀參選
鱼头参政	魚頭參政
㓦划	㓦劃
一划	一劃
七划	七劃
九划	九劃
二划	二劃
五划	五劃
企划	企劃
划来	划來
划具	划具
划动	划動
划子	划子
划拳	划拳
划桨	划槳
划水	划水
划着	划着
划算	划算
划船	划船
划艇	划艇
划行	划行
划走	划走
划起	划起
划进	划進
刻划	刻劃
划一	劃一
划上	劃上
划下	劃下
划位	劃位
划伤	劃傷
划入	劃入
划分	劃分
划到	劃到
划划	劃劃
划去	劃去
划在	劃在
划地	劃地
划定	劃定
划得	劃得
划成	劃成
划拉	劃拉
划掉	劃掉
划拨	劃撥
划款	劃款
划归	劃歸
划法	劃法
划清	劃清
划然	劃然
划为	劃爲
划界	劃界
划痕	劃痕
划破	劃破
划策	劃策
划线	劃線
划花	劃花
划设	劃設
划足	劃足
划过	劃過
划开	劃開
劈划	劈劃
勾划	勾劃
汇划	匯劃
区划	區劃
十划	十劃
扣划	扣劃
擘划	擘劃
摆划	擺劃
支划	支劃
比划	比劃
百划	百劃
笔划	筆劃
策划	策劃
筹划	籌劃
裁划	裁劃
规划	規劃
计划	計劃
谋划	謀劃
重划	重劃
辟划	闢劃
一笔划	一筆劃
下划线	下劃線
不划算	不划算
五笔划	五筆劃
企划人	企劃人
企划厅	企劃廳
企划书	企劃書
企划案	企劃案
企划组	企劃組
企划处	企劃處
企划部	企劃部
划一桨	划一槳
划不来	划不來
划到岸	划到岸
划得来	划得來
划着走	划着走
划起来	划起來
划进来	划進來
划进去	划進去
划过来	划過來
划过去	划過去
划双人	划雙人
划龙舟	划龍舟
划分成	劃分成
划分法	劃分法
划分为	劃分爲
划定为	劃定爲
划座位	劃座位
划时代	劃時代
定计划	定計劃
小划子	小划子
按计划	按計劃
有计划	有計劃
核计划	核計劃
皮划艇	皮划艇
策划人	策劃人
策划者	策劃者
脚划船	腳划船
规划好	規劃好
规划局	規劃局
规划成	規劃成
规划案	規劃案
规划为	規劃爲
计划图	計劃圖
计划好	計劃好
计划性	計劃性
计划书	計劃書
计划案	計劃案
计划署	計劃署
计划者	計劃者
财划法	財劃法
重划区	重劃區
重划局	重劃局
中程计划	中程計劃
五年计划	五年計劃
信义计划	信義計劃
共享计划	共享計劃
具体计划	具體計劃
划到江心	划到江心
划单人艇	划單人艇
刻划入微	刻劃入微
划一不二	劃一不二
划下道来	劃下道來
划来划去	劃來劃去
划圆防守	劃圓防守
划地为王	劃地爲王
划地自限	劃地自限
划拨帐号	劃撥帳號
划清界线	劃清界線
划清界限	劃清界限
商业计划	商業計劃
国土规划	國土規劃
国建计划	國建計劃
土地重划	土地重劃
城市规划	城市規劃
学习计划	學習計劃
家庭计划	家庭計劃
实业计划	實業計劃
市地重划	市地重劃
指手划脚	指手劃腳
按照计划	按照計劃
扩厂计划	擴廠計劃
救恩计划	救恩計劃
教学计划	教學計劃
整齐划一	整齊劃一
早有计划	早有計劃
权能划分	權能劃分
比手划脚	比手劃腳
猜三划五	猜三划五
生涯规划	生涯規劃
程式规划	程式規劃
统一规划	統一規劃
统一计划	統一計劃
统筹规划	統籌規劃
经济计划	經濟計劃
线性规划	線性規劃
总体规划	總體規劃
行动计划	行動計劃
行政区划	行政區劃
规划人员	規劃人員
计划生育	計劃生育
计划目标	計劃目標
计划经济	計劃經濟
农地重划	農地重劃
通盘计划	通盤計劃
邮政划拨	郵政劃撥
都市计划	都市計劃
长程计划	長程計劃
鸭子划水	鴨子划水
一吊	一吊
上吊	上吊
不吊	不弔
倒吊	倒吊
各吊	各吊
吊上	吊上
吊下	吊下
吊伐	吊伐
吊具	吊具
吊刑	吊刑
吊到	吊到
吊去	吊去
吊取	吊取
吊吊	吊吊
吊名	吊名
吊嗓	吊嗓
吊嘴	吊嘴
吊场	吊場
吊塔	吊塔
吊坠	吊墜
吊好	吊好
吊子	吊子
吊带	吊帶
吊得	吊得
吊扇	吊扇
吊打	吊打
吊扣	吊扣 吊釦
吊挂	吊掛
吊杆	吊杆
吊架	吊架
吊桶	吊桶
吊杠	吊槓
吊楼	吊樓
吊桥	吊橋
吊死	吊死
吊毛	吊毛
吊水	吊水
吊灯	吊燈
吊床	吊牀
吊球	吊球
吊环	吊環
吊盘	吊盤
吊着	吊着
吊稍	吊稍
吊窗	吊窗
吊篮	吊籃
吊索	吊索
吊线	吊線
吊绳	吊繩
吊脚	吊腳
吊臂	吊臂
吊兰	吊蘭
吊装	吊裝
吊裤	吊褲
吊袜	吊襪
吊走	吊走
吊起	吊起
吊车	吊車
吊运	吊運
吊钩	吊鉤
吊销	吊銷
吊铺	吊鋪
吊门	吊門
吊颈	吊頸
吊饰	吊飾
哀吊	哀弔
唁吊	唁弔
垂吊	垂吊
塔吊	塔吊
少吊	少吊
吊古	弔古
吊唁	弔唁
吊问	弔問
吊喉	弔喉
吊丧	弔喪
吊喭	弔喭
吊奠	弔奠
吊孝	弔孝
吊客	弔客
吊宴	弔宴
吊影	弔影
吊慰	弔慰
吊拷	弔拷
吊撒	弔撒
吊文	弔文
吊旗	弔旗
吊书	弔書
吊民	弔民
吊祭	弔祭
吊纸	弔紙
吊词	弔詞
吊诡	弔詭
吊谎	弔謊
吊头	弔頭
吊鹤	弔鶴
庆吊	慶弔
凭吊	憑弔
悬吊	懸吊
拖吊	拖吊
换吊	換吊
撇吊	撇弔
会吊	會弔
浮吊	浮吊
盆吊	盆吊
祭吊	祭弔
綑吊	綑吊
起吊	起吊
开吊	開弔
陪吊	陪弔
马吊	馬吊
鹤吊	鶴弔
一吊钱	一吊錢
二吊六	二吊六
半吊子	半吊子
吊上来	吊上來
吊上去	吊上去
吊下来	吊下來
吊下去	吊下去
吊嗓子	吊嗓子
吊带衫	吊帶衫
吊带裤	吊帶褲
吊挂在	吊掛在
吊挂着	吊掛着
吊档裤	吊檔褲
吊死鬼	吊死鬼
吊瓶族	吊瓶族
吊胃口	吊胃口
吊脚儿	吊腳兒
吊膀子	吊膀子
吊衣架	吊衣架
吊裤带	吊褲帶
吊袜带	吊襪帶
吊起来	吊起來
吊车尾	吊車尾
吊钢丝	吊鋼絲
吊客眉	弔客眉
拖吊车	拖吊車
祭吊文	祭弔文
肉吊窗	肉吊窗
门吊儿	門吊兒
龙门吊	龍門吊
上吊自杀	上吊自殺
不通吊庆	不通弔慶
九吊六的	九吊六的
伐罪吊民	伐罪弔民
倒吊蜡烛	倒吊蠟燭
偷鸡吊狗	偷雞吊狗
吉凶庆吊	吉凶慶弔
吊来吊去	吊來吊去
吊子曰儿	吊子曰兒
吊拷絣把	吊拷絣把
吊拷绷扒	吊拷繃扒
吊放声纳	吊放聲納
吊誉沽名	吊譽沽名
吊销执照	吊銷執照
孤形吊影	孤形吊影
弄鬼吊猴	弄鬼弔猴
吊古寻幽	弔古尋幽
吊丧问疾	弔喪問疾
吊死问孤	弔死問孤
吊死问疾	弔死問疾
吊民伐罪	弔民伐罪
吊者大悦	弔者大悅
吊腰撒跨	弔腰撒跨
吊脚儿事	弔腳兒事
吊诡矜奇	弔詭矜奇
吊贺迎送	弔賀迎送
形影相吊	形影相弔
悬心吊胆	懸心吊膽
掤扒吊栲	掤扒吊栲
提心吊胆	提心吊膽
捣鬼吊白	搗鬼弔白
摆荡吊环	擺蕩吊環
攀今吊古	攀今吊古
昊天不吊	昊天不弔
沽名吊誉	沽名吊譽
絣扒吊拷	絣扒吊拷
绷巴吊拷	繃巴吊拷
绷扒吊拷	繃扒吊拷
绷爬吊拷	繃爬吊拷
缆索吊椅	纜索吊椅
翻来吊去	翻來吊去
花马吊嘴	花馬弔嘴
虮蝨相吊	蟣蝨相弔
青蝇吊客	青蠅弔客
一致	一致
不致	不致
二致	二致
以致	以致
休致	休致
佳致	佳致
功致	功緻
坐致	坐致
坚致	堅緻
大致	大致
密致	密緻
导致	導致
工致	工緻
引致	引致
张致	張致
思致	思致
情致	情致
所致	所致
招致	招致
文致	文致
景致	景緻
有致	有致
格致	格致
标致	標緻
殊致	殊致
获致	獲致
理致	理致
直致	直致
笔致	筆致
精致	精緻
细致	細緻
紧致	緊緻
致密	緻密
缜致	縝緻
缥致	縹致
罗致	羅致
致上	致上
致乱	致亂
致仕	致仕
致以	致以
致使	致使
致冷	致冷
致函	致函
致力	致力
致命	致命
致哀	致哀
致奠	致奠
致富	致富
致师	致師
致思	致思
致意	致意
致政	致政
致敬	致敬
致书	致書
致歉	致歉
致死	致死
致残	致殘
致获	致獲
致理	致理
致用	致用
致畸	致畸
致疑	致疑
致病	致病
致癌	致癌
致知	致知
致祭	致祭
致词	致詞
致详	致詳
致语	致語
致谢	致謝
致贺	致賀
致赠	致贈
致身	致身
致辞	致辭
致送	致送
致远	致遠
致电	致電
兴致	興致
裂致	裂致
谨致	謹致
辞致	辭致
逸致	逸緻
达致	達致
遭致	遭致
雅致	雅緻
韵致	韻致
风致	風致
一致字	一致字
一致性	一致性
不一致	不一致
光致致	光緻緻
呆致致	呆緻緻
大致上	大致上
有致癌	有致癌
杨致远	楊致遠
精致化	精緻化
精致度	精緻度
罗致政	羅致政
致冷劑	致冷劑
致命伤	致命傷
致命性	致命性
致命处	致命處
致死性	致死性
致死案	致死案
致死率	致死率
致死量	致死量
致病性	致病性
致病菌	致病菌
致癌物	致癌物
附致语	附致語
非致命	非致命
一夜致富	一夜致富
一致百虑	一致百慮
不一致字	不一致字
互致问候	互致問候
以冰致蝇	以冰致蠅
以貍致鼠	以貍致鼠
任重致远	任重致遠
来宾致词	來賓致詞
做张做致	做張做致
伤心致死	傷心致死
全场一致	全場一致
凹凸有致	凹凸有致
勤劳致富	勤勞致富
取得一致	取得一致
和气致祥	和氣致祥
和谐一致	和諧一致
图财致命	圖財致命
大致说来	大致說來
学以致用	學以致用
官兵一致	官兵一致
宁静致远	寧靜致遠
导致死亡	導致死亡
悠活丽致	悠活麗緻
悬车致仕	懸車致仕
推心致腹	推心致腹
挥手致意	揮手致意
林下风致	林下風致
格物致知	格物致知
格致中学	格致中學
格致国中	格致國中
标标致致	標標致致
步调一致	步調一致
殊涂一致	殊塗一致
杀敌致果	殺敵致果
毫无二致	毫無二致
没张没致	沒張沒致
满场一致	滿場一致
澄澹精致	澄澹精致
争相罗致	爭相羅致
生刍致祭	生芻致祭
百虑一致	百慮一致
细致入微	細緻入微
经世致用	經世致用
罗致人材	羅致人材
脱帽致敬	脫帽致敬
临危致命	臨危致命
致使动词	致使動詞
致富之道	致富之道
致死剂量	致死劑量
致理商专	致理商專
致癌物质	致癌物質
致远任重	致遠任重
兴致勃勃	興致勃勃
兴致盎然	興致盎然
兴致索然	興致索然
见危致命	見危致命
言文一致	言文一致
言行一致	言行一致
谈吐有致	談吐有致
谨致谢意	謹致謝意
豪情逸致	豪情逸致
负乘致寇	負乘致寇
负重致远	負重致遠
过失致死	過失致死
钩深致远	鉤深致遠
衔哀致诚	銜哀致誠
错落有致	錯落有致
闲情逸致	閒情逸致
雅人深致	雅人深致
静默致哀	靜默致哀
风流标致	風流標致
高致病性	高致病性
默哀致意	默哀致意
低荡	低盪
佚荡	佚蕩
傥荡	儻蕩
冶荡	冶蕩
动荡	動盪
坦荡	坦蕩
心荡	心蕩
悠荡	悠盪
批荡	批蕩
拂荡	拂盪
振荡	振盪
扫荡	掃蕩
摇荡	搖盪
播荡	播蕩
摆荡	擺盪
放荡	放蕩
敖荡	敖盪
散荡	散蕩
晃荡	晃盪
旷荡	曠蕩
波荡	波盪
洗荡	洗盪
流荡	流蕩
浩荡	浩蕩
浪荡	浪蕩
浮荡	浮蕩
淫荡	淫蕩
涤荡	滌盪
滔荡	滔蕩
漂荡	漂盪
澹荡	澹盪
激荡	激盪
爽荡	爽蕩
狂荡	狂蕩
荡到	盪到
荡口	盪口
荡寒	盪寒
荡涤	盪滌
荡漾	盪漾
荡舟	盪舟
荡船	盪船
荡酒	盪酒
荡开	盪開
荡风	盪風
空荡	空蕩
簸荡	簸盪
耘荡	耘盪
花荡	花蕩
莽荡	莽蕩
荡女	蕩女
荡妇	蕩婦
荡子	蕩子
荡寇	蕩寇
荡平	蕩平
荡心	蕩心
荡散	蕩散
荡析	蕩析
荡潏	蕩潏
荡然	蕩然
荡产	蕩產
荡田	蕩田
荡荡	蕩蕩
芦荡	蘆蕩
虚荡	虛蕩
豁荡	豁蕩
跌荡	跌蕩
跳荡	跳蕩
轶荡	軼蕩
逋荡	逋蕩
逛荡	逛蕩
闲荡	閒蕩
闯荡	闖蕩
雁荡	雁蕩
震荡	震盪
飘荡	飄蕩
骀荡	駘蕩
鼓荡	鼓盪
坦荡荡	坦蕩蕩
墨荡子	墨盪子
振荡器	振盪器
浪荡子	浪蕩子
浪荡灯	浪蕩燈
荡悠悠	盪悠悠
荡秋千	盪鞦韆
空荡荡	空蕩蕩
脑震荡	腦震盪
芦花荡	蘆花蕩
雁荡山	雁蕩山
震荡性	震盪性
静荡荡	靜蕩蕩
黄天荡	黃天蕩
倾家荡产	傾家蕩產
光光荡荡	光光蕩蕩
动荡不安	動盪不安
动荡不定	動盪不定
勾魂荡魄	勾魂蕩魄
十荡十决	十蕩十決
坦坦荡荡	坦坦蕩蕩
寒波荡漾	寒波盪漾
巍巍荡荡	巍巍蕩蕩
心荡神怡	心蕩神怡
心荡神摇	心蕩神搖
心荡神迷	心蕩神迷
心荡神驰	心蕩神馳
悠悠荡荡	悠悠盪盪
振荡电流	振盪電流
振荡电路	振盪電路
扫荡残敌	掃蕩殘敵
摇摇荡荡	搖搖蕩蕩
摇荡不停	搖盪不停
摆荡起来	擺盪起來
放荡不羁	放蕩不羈
放荡任气	放蕩任氣
放荡弛纵	放蕩弛縱
春心荡漾	春心蕩漾
晃晃荡荡	晃晃蕩蕩
晶体振荡	晶體振盪
暖荡撩锅	暖盪撩鍋
本机振荡	本機振盪
东扬西荡	東揚西蕩
东荡西除	東蕩西除
东飘西荡	東飄西蕩
水波荡漾	水波盪漾
波光荡漾	波光盪漾
流荡忘反	流蕩忘反
浩浩荡荡	浩浩蕩蕩
浪荡子式	浪蕩子式
溶溶荡荡	溶溶蕩蕩
涤瑕荡垢	滌瑕盪垢
涤瑕荡秽	滌瑕盪穢
涤秽荡瑕	滌穢盪瑕
漂荡子弟	漂蕩子弟
激荡不已	激盪不已
皇恩浩荡	皇恩浩蕩
荡来荡去	盪來盪去
荡垢涤汙	盪垢滌污
荡荡悠悠	盪盪悠悠
眼迷心荡	眼迷心蕩
碧波荡漾	碧波盪漾
磊落轶荡	磊落軼蕩
神摇魂荡	神搖魂盪
神魂摇荡	神魂搖盪
神魂荡漾	神魂盪漾
神魂荡飏	神魂盪颺
神魂飘荡	神魂飄蕩
神魂飞荡	神魂飛蕩
神魂驰荡	神魂馳蕩
空空荡荡	空空蕩蕩
胸怀坦荡	胸懷坦蕩
脑力激荡	腦力激盪
茫茫荡荡	茫茫蕩蕩
荡析离居	蕩析離居
荡检逾闲	蕩檢逾閑
荡然无存	蕩然無存
荡瑕涤秽	蕩瑕滌穢
荡产倾家	蕩產傾家
虎荡羊群	虎蕩羊群
西除东荡	西除東蕩
跌荡不羁	跌蕩不羈
跌荡放言	跌蕩放言
逾闲荡检	逾閑蕩檢
闯荡江湖	闖蕩江湖
电磁振荡	電磁振盪
震荡不安	震盪不安
飘飘荡荡	飄飄蕩蕩
不托	不託
之托	之託
交托	交託
仗托	仗托
付托	付託
依托	依託
信托	信託
倚托	倚托
假托	假託
伪托	偽託
入托	入托
全托	全託
利托	利托
半托	半托
受托	受託
嘱托	囑託
奥托	奧托
委托	委託
寄托	寄託
属托	屬託
幼托	幼托
恳托	懇託
所托	所託
托住	托住
托儿	托兒
托勒	托勒
托地	托地
托墨	托墨
托夫	托夫
托子	托子
托实	托實
托幼	托幼
托拉	托拉
托杯	托杯
托架	托架
托熟	托熟
托特	托特
托盘	托盤
托缽	托缽
托育	托育
托胎	托胎
托腮	托腮
托胆	托膽
托色	托色
托赖	托賴
托起	托起
托足	托足
托领	托領
投托	投托
拜托	拜託
拱托	拱托
推托	推託
摩托	摩托
斯托	斯托
枪托	槍托
浮托	浮托
烘托	烘托
相托	相托
瞩托	矚託
索托	索托
结托	結托
腮托	腮托
花托	花托
茶托	茶托
菌托	菌托
落托	落托
衬托	襯托
托事	託事
托交	託交
托人	託人
托付	託付
托名	託名
托命	託命
托咎	託咎
托梦	託夢
托大	託大
托孤	託孤
托庇	託庇
托故	託故
托派	託派
托生	託生
托疾	託疾
托病	託病
托福	託福
托管	託管
托言	託言
托词	託詞
托买	託買
托卖	託賣
托身	託身
托辞	託辭
托运	託運
托过	託過
托附	託附
请托	請託
转托	轉託
医托	醫托
重托	重託
铁托	鐵托
一托气	一托氣
一托头	一托頭
受托人	受託人
受托者	受託者
吧托女	吧托女
委托人	委託人
委托书	委託書
威奇托	威奇托
存托股	存托股
寄托在	寄託在
寄托着	寄託着
托木尔	托木爾
托盘区	托盤區
托福考	托福考
托钵人	托缽人
托钵僧	托缽僧
托老院	托老院
托莱多	托萊多
托起来	托起來
托辣斯	托辣斯
摩托化	摩托化
